roundedMaxTS,roundedMaxDate,site,sold,soldAccum,unsold,inventory
1662285600000,“2022-09-04T06:00:00-04:00”,stubhub,2,433,2879,3312
1662285600000,“2022-09-04T06:00:00-04:00”,seatgeek,2,511,2506,3017
1662285600000,“2022-09-04T06:00:00-04:00”,vividseats,2,400,2464,2864
1662289200000,“2022-09-04T07:00:00-04:00”,stubhub,6,439,2873,3312
1662289200000,“2022-09-04T07:00:00-04:00”,seatgeek,8,519,2498,3017
1662289200000,“2022-09-04T07:00:00-04:00”,vividseats,6,406,2458,2864
1662300000000,“2022-09-04T10:00:00-04:00”,stubhub,3,442,2870,3312
1662300000000,“2022-09-04T10:00:00-04:00”,seatgeek,2,521,2496,3017
1662300000000,“2022-09-04T10:00:00-04:00”,vividseats,3,409,2455,2864
1662303600000,“2022-09-04T11:00:00-04:00”,stubhub,4,446,2866,3312
1662303600000,“2022-09-04T11:00:00-04:00”,seatgeek,3,524,2493,3017
1662303600000,“2022-09-04T11:00:00-04:00”,vividseats,5,414,2450,2864
1662307200000,“2022-09-04T12:00:00-04:00”,stubhub,7,453,2859,3312
1662307200000,“2022-09-04T12:00:00-04:00”,seatgeek,7,531,2486,3017
1662307200000,“2022-09-04T12:00:00-04:00”,vividseats,5,419,2445,2864
1662310800000,“2022-09-04T13:00:00-04:00”,stubhub,3,456,2856,3312
1662310800000,“2022-09-04T13:00:00-04:00”,seatgeek,6,537,2480,3017
1662310800000,“2022-09-04T13:00:00-04:00”,vividseats,4,423,2441,2864
1662314400000,“2022-09-04T14:00:00-04:00”,stubhub,7,463,2849,3312
1662314400000,“2022-09-04T14:00:00-04:00”,seatgeek,10,547,2470,3017
1662314400000,“2022-09-04T14:00:00-04:00”,vividseats,6,429,2435,2864
1662318000000,“2022-09-04T15:00:00-04:00”,stubhub,4,467,2845,3312
1662318000000,“2022-09-04T15:00:00-04:00”,seatgeek,2,549,2468,3017
1662318000000,“2022-09-04T15:00:00-04:00”,vividseats,2,431,2433,2864
1662321600000,“2022-09-04T16:00:00-04:00”,stubhub,1,468,2844,3312
1662321600000,“2022-09-04T16:00:00-04:00”,seatgeek,4,553,2464,3017
1662321600000,“2022-09-04T16:00:00-04:00”,vividseats,1,432,2432,2864
1662325200000,“2022-09-04T17:00:00-04:00”,stubhub,13,481,2831,3312
1662325200000,“2022-09-04T17:00:00-04:00”,seatgeek,8,561,2456,3017
1662325200000,“2022-09-04T17:00:00-04:00”,vividseats,6,438,2426,2864
1662328800000,“2022-09-04T18:00:00-04:00”,stubhub,3,484,2828,3312
1662328800000,“2022-09-04T18:00:00-04:00”,seatgeek,3,564,2453,3017
1662328800000,“2022-09-04T18:00:00-04:00”,vividseats,3,441,2423,2864
1662332400000,“2022-09-04T19:00:00-04:00”,stubhub,83,567,2745,3312
1662332400000,“2022-09-04T19:00:00-04:00”,seatgeek,107,671,2346,3017
1662332400000,“2022-09-04T19:00:00-04:00”,vividseats,221,662,2202,2864
1662336000000,“2022-09-04T20:00:00-04:00”,stubhub,20,587,2725,3312
1662336000000,“2022-09-04T20:00:00-04:00”,seatgeek,23,694,2323,3017
1662336000000,“2022-09-04T20:00:00-04:00”,vividseats,21,683,2181,2864
1662343200000,“2022-09-04T22:00:00-04:00”,stubhub,9,596,2716,3312
1662343200000,“2022-09-04T22:00:00-04:00”,seatgeek,16,710,2307,3017
1662343200000,“2022-09-04T22:00:00-04:00”,vividseats,12,695,2169,2864
1662375600000,“2022-09-05T07:00:00-04:00”,stubhub,1,597,2715,3312
1662375600000,“2022-09-05T07:00:00-04:00”,seatgeek,2,712,2305,3017
1662375600000,“2022-09-05T07:00:00-04:00”,vividseats,1,696,2168,2864
1662379200000,“2022-09-05T08:00:00-04:00”,stubhub,5,602,2710,3312
1662379200000,“2022-09-05T08:00:00-04:00”,seatgeek,7,719,2298,3017
1662379200000,“2022-09-05T08:00:00-04:00”,vividseats,6,702,2162,2864
1662382800000,“2022-09-05T09:00:00-04:00”,stubhub,4,606,2706,3312
1662382800000,“2022-09-05T09:00:00-04:00”,seatgeek,10,729,2288,3017
1662382800000,“2022-09-05T09:00:00-04:00”,vividseats,5,707,2157,2864
1662386400000,“2022-09-05T10:00:00-04:00”,stubhub,5,611,2701,3312
1662386400000,“2022-09-05T10:00:00-04:00”,seatgeek,8,737,2280,3017
1662386400000,“2022-09-05T10:00:00-04:00”,vividseats,6,713,2151,2864
1662390000000,“2022-09-05T11:00:00-04:00”,stubhub,12,623,2689,3312
1662390000000,“2022-09-05T11:00:00-04:00”,seatgeek,34,771,2246,3017
1662390000000,“2022-09-05T11:00:00-04:00”,vividseats,31,744,2120,2864
1662393600000,“2022-09-05T12:00:00-04:00”,stubhub,24,647,2666,3313
1662393600000,“2022-09-05T12:00:00-04:00”,seatgeek,65,836,2181,3017
1662393600000,“2022-09-05T12:00:00-04:00”,vividseats,60,804,2060,2864
1662397200000,“2022-09-05T13:00:00-04:00”,stubhub,1,648,2665,3313
1662397200000,“2022-09-05T13:00:00-04:00”,seatgeek,0,836,2181,3017
1662397200000,“2022-09-05T13:00:00-04:00”,vividseats,0,804,2060,2864
1662400800000,“2022-09-05T14:00:00-04:00”,stubhub,1,649,2664,3313
1662400800000,“2022-09-05T14:00:00-04:00”,seatgeek,4,840,2177,3017
1662400800000,“2022-09-05T14:00:00-04:00”,vividseats,5,809,2055,2864
1662404400000,“2022-09-05T15:00:00-04:00”,stubhub,5,654,2659,3313
1662404400000,“2022-09-05T15:00:00-04:00”,seatgeek,8,848,2169,3017
1662404400000,“2022-09-05T15:00:00-04:00”,vividseats,4,813,2051,2864
1662408000000,“2022-09-05T16:00:00-04:00”,stubhub,3,657,2656,3313
1662408000000,“2022-09-05T16:00:00-04:00”,seatgeek,9,857,2160,3017
1662408000000,“2022-09-05T16:00:00-04:00”,vividseats,6,819,2045,2864
1662411600000,“2022-09-05T17:00:00-04:00”,stubhub,5,662,2651,3313
1662411600000,“2022-09-05T17:00:00-04:00”,seatgeek,9,866,2151,3017
1662411600000,“2022-09-05T17:00:00-04:00”,vividseats,7,826,2038,2864
1662415200000,“2022-09-05T18:00:00-04:00”,stubhub,5,667,2646,3313
1662415200000,“2022-09-05T18:00:00-04:00”,seatgeek,6,872,2145,3017
1662415200000,“2022-09-05T18:00:00-04:00”,vividseats,6,832,2032,2864
1662418800000,“2022-09-05T19:00:00-04:00”,stubhub,32,699,2614,3313
1662418800000,“2022-09-05T19:00:00-04:00”,seatgeek,21,893,2124,3017
1662418800000,“2022-09-05T19:00:00-04:00”,vividseats,62,894,1970,2864
1662422400000,“2022-09-05T20:00:00-04:00”,stubhub,7,706,2607,3313
1662422400000,“2022-09-05T20:00:00-04:00”,seatgeek,110,1003,2014,3017
1662422400000,“2022-09-05T20:00:00-04:00”,vividseats,8,902,1962,2864
1662426000000,“2022-09-05T21:00:00-04:00”,stubhub,4,710,2603,3313
1662426000000,“2022-09-05T21:00:00-04:00”,seatgeek,7,1010,2007,3017
1662426000000,“2022-09-05T21:00:00-04:00”,vividseats,3,905,1959,2864
1662429600000,“2022-09-05T22:00:00-04:00”,stubhub,4,714,2599,3313
1662429600000,“2022-09-05T22:00:00-04:00”,seatgeek,4,1014,2003,3017
1662429600000,“2022-09-05T22:00:00-04:00”,vividseats,2,907,1957,2864
1662433200000,“2022-09-05T23:00:00-04:00”,stubhub,6,720,2593,3313
1662433200000,“2022-09-05T23:00:00-04:00”,seatgeek,9,1023,1994,3017
1662433200000,“2022-09-05T23:00:00-04:00”,vividseats,8,915,1949,2864
1662458400000,“2022-09-06T06:00:00-04:00”,stubhub,0,720,2593,3313
1662458400000,“2022-09-06T06:00:00-04:00”,seatgeek,3,1026,1991,3017
1662458400000,“2022-09-06T06:00:00-04:00”,vividseats,3,918,1946,2864
1662462000000,“2022-09-06T07:00:00-04:00”,stubhub,2,722,2591,3313
1662462000000,“2022-09-06T07:00:00-04:00”,seatgeek,1,1027,1990,3017
1662462000000,“2022-09-06T07:00:00-04:00”,vividseats,1,919,1945,2864
1662465600000,“2022-09-06T08:00:00-04:00”,stubhub,2,724,2589,3313
1662465600000,“2022-09-06T08:00:00-04:00”,seatgeek,7,1034,1983,3017
1662465600000,“2022-09-06T08:00:00-04:00”,vividseats,10,929,1935,2864
1662469200000,“2022-09-06T09:00:00-04:00”,stubhub,6,730,2583,3313
1662469200000,“2022-09-06T09:00:00-04:00”,seatgeek,3,1037,1980,3017
1662469200000,“2022-09-06T09:00:00-04:00”,vividseats,4,933,1931,2864
1662472800000,“2022-09-06T10:00:00-04:00”,stubhub,4,734,2579,3313
1662472800000,“2022-09-06T10:00:00-04:00”,seatgeek,4,1041,1976,3017
1662472800000,“2022-09-06T10:00:00-04:00”,vividseats,4,937,1927,2864
1662476400000,“2022-09-06T11:00:00-04:00”,stubhub,7,741,2572,3313
1662476400000,“2022-09-06T11:00:00-04:00”,seatgeek,8,1049,1968,3017
1662476400000,“2022-09-06T11:00:00-04:00”,vividseats,5,942,1922,2864
1662480000000,“2022-09-06T12:00:00-04:00”,stubhub,6,747,2566,3313
1662480000000,“2022-09-06T12:00:00-04:00”,seatgeek,8,1057,1960,3017
1662480000000,“2022-09-06T12:00:00-04:00”,vividseats,4,946,1918,2864
1662483600000,“2022-09-06T13:00:00-04:00”,stubhub,12,759,2554,3313
1662483600000,“2022-09-06T13:00:00-04:00”,seatgeek,22,1079,1938,3017
1662483600000,“2022-09-06T13:00:00-04:00”,vividseats,12,958,1906,2864
1662487200000,“2022-09-06T14:00:00-04:00”,stubhub,4,763,2550,3313
1662487200000,“2022-09-06T14:00:00-04:00”,seatgeek,6,1085,1932,3017
1662487200000,“2022-09-06T14:00:00-04:00”,vividseats,7,965,1899,2864
1662490800000,“2022-09-06T15:00:00-04:00”,stubhub,30,793,2520,3313
1662490800000,“2022-09-06T15:00:00-04:00”,seatgeek,21,1106,1911,3017
1662490800000,“2022-09-06T15:00:00-04:00”,vividseats,36,1001,1863,2864
1662494400000,“2022-09-06T16:00:00-04:00”,stubhub,8,801,2512,3313
1662494400000,“2022-09-06T16:00:00-04:00”,seatgeek,11,1117,1900,3017
1662494400000,“2022-09-06T16:00:00-04:00”,vividseats,9,1010,1854,2864
1662498000000,“2022-09-06T17:00:00-04:00”,stubhub,3,804,2509,3313
1662498000000,“2022-09-06T17:00:00-04:00”,seatgeek,5,1122,1895,3017
1662498000000,“2022-09-06T17:00:00-04:00”,vividseats,5,1015,1849,2864
1662501600000,“2022-09-06T18:00:00-04:00”,stubhub,3,807,2506,3313
1662501600000,“2022-09-06T18:00:00-04:00”,seatgeek,8,1130,1887,3017
1662501600000,“2022-09-06T18:00:00-04:00”,vividseats,3,1018,1846,2864
1662505200000,“2022-09-06T19:00:00-04:00”,stubhub,19,826,2487,3313
1662505200000,“2022-09-06T19:00:00-04:00”,seatgeek,8,1138,1879,3017
1662505200000,“2022-09-06T19:00:00-04:00”,vividseats,17,1035,1829,2864
1662508800000,“2022-09-06T20:00:00-04:00”,stubhub,15,841,2472,3313
1662508800000,“2022-09-06T20:00:00-04:00”,seatgeek,19,1157,1860,3017
1662508800000,“2022-09-06T20:00:00-04:00”,vividseats,17,1052,1812,2864
1662512400000,“2022-09-06T21:00:00-04:00”,stubhub,11,852,2461,3313
1662512400000,“2022-09-06T21:00:00-04:00”,seatgeek,14,1171,1846,3017
1662512400000,“2022-09-06T21:00:00-04:00”,vividseats,8,1060,1804,2864
1662516000000,“2022-09-06T22:00:00-04:00”,stubhub,13,865,2448,3313
1662516000000,“2022-09-06T22:00:00-04:00”,seatgeek,14,1185,1832,3017
1662516000000,“2022-09-06T22:00:00-04:00”,vividseats,11,1071,1793,2864
1662519600000,“2022-09-06T23:00:00-04:00”,stubhub,12,877,2436,3313
1662519600000,“2022-09-06T23:00:00-04:00”,seatgeek,7,1192,1825,3017
