ticket,site,row,section,url,distinctPricesCount,maxTimestampmillis
seatgeek-dNgUZXVB2GR,seatgeek,M,324,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=dNgUZXVB2GR,3,1662036268783
seatgeek-z3EsDkEwYr8,seatgeek,G,22,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=z3EsDkEwYr8,3,1662036268783
seatgeek-agktE6E9kVZ,seatgeek,S,336,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=agktE6E9kVZ,3,1662036268783
seatgeek-MAeIB5BpXmX,seatgeek,C,340,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=MAeIB5BpXmX,3,1662034400198
vividseats-VB5740944005,vividseats,E,303,https://www.vividseats.com//production/3727337?showDetails=VB5740944005&qty=1,1,1662036268783
seatgeek-4vXcGDDMgXY,seatgeek,H,321,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=4vXcGDDMgXY,3,1662036268783
vividseats-VB5734683171,vividseats,M,321,https://www.vividseats.com//production/3727337?showDetails=VB5734683171&qty=1,1,1662036268783
stubhub--5477948597,stubhub,V,330,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=-5477948597,1,1662036268783
vividseats-VB5733099933,vividseats,K,304,https://www.vividseats.com//production/3727337?showDetails=VB5733099933&qty=1,1,1662036268783
stubhub-5475389662,stubhub,N,314,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5475389662,1,1662036268783
vividseats-VB5740841265,vividseats,H,108,https://www.vividseats.com//production/3727337?showDetails=VB5740841265&qty=1,1,1662036268783
seatgeek-6mOhKpAgvYz,seatgeek,D,103,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKpAgvYz,3,1662036268783
stubhub-5477750946,stubhub,J,122,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5477750946,1,1662036268783
stubhub-5387816399,stubhub,K,103,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5387816399,1,1662036268783
stubhub-5474795215,stubhub,J,120,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5474795215,1,1662036268783
vividseats-VB5740841378,vividseats,H,302,https://www.vividseats.com//production/3727337?showDetails=VB5740841378&qty=1,1,1662036268783
stubhub-5336597690,stubhub,Q,311,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-10-2022/event/105018007/?listingId=5336597690,1,1662036268783
