ticket,site,row,section,title,note,url,distinctPricesCount,maxTimestampmillis
seatgeek-6mOhKZKlzJd,seatgeek,P,309,Section 309 Row P,Section 309 Row P,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZKlzJd,3,1662037578542
seatgeek-6mOhKZKnXOO,seatgeek,J,331,Section 331 Row J,Section 331 Row J,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZKnXOO,9,1662130665680
seatgeek-6mOhKZKpa2V,seatgeek,K,304,Section 304 Row K,Section 304 Row K,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZKpa2V,12,1662501744186
seatgeek-6mOhKZKzOe2,seatgeek,Q,313,Section 313 Row Q,Section 313 Row Q,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZKzOe2,3,1662102898370
seatgeek-6mOhKZLDdx7,seatgeek,R,314,Section 314 Row R,Section 314 Row R,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZLDdx7,3,1662041882903
seatgeek-6mOhKZPMdkO,seatgeek,L,325,Section 325 Row L,Section 325 Row L,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZPMdkO,6,1662222039180
seatgeek-6mOhKZPOJDN,seatgeek,E,339,Section 339 Row E,Section 339 Row E,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZPOJDN,3,1662039423768
seatgeek-6mOhKZPZNal,seatgeek,C,16,Section 16 Row C,Section 16 Row C,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZPZNal,9,1662389630830
seatgeek-6mOhKZPrxGl,seatgeek,C,114,Section 114 Row C,Section 114 Row C,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZPrxGl,3,1662336601383
seatgeek-6mOhKZPzeJn,seatgeek,L,334,Section 334 Row L,Section 334 Row L,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZPzeJn,12,1662114898803
seatgeek-6mOhKZYBoOO,seatgeek,D,118,Section 118 Row D,Section 118 Row D,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZYBoOO,2,1662596828482
seatgeek-6mOhKZYBv59,seatgeek,H,333,Section 333 Row H,Section 333 Row H,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZYBv59,3,1662596828482
seatgeek-6mOhKZYK0Kx,seatgeek,G,322,Section 322 Row G,Section 322 Row G,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZYK0Kx,3,1662596828482
seatgeek-6mOhKZYKVen,seatgeek,E,303,Section 303 Row E,Section 303 Row E,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZYKVen,1,1662590835388
