ticket,timestampmillis,price
stubhub-5474104567,1662034308064,972.84
stubhub-5474104567,1662034334308,972.84
stubhub-5474104567,1662034400198,972.84
stubhub-5474600626,1662034308064,1565.06
stubhub-5474600626,1662034334308,1565.06
stubhub-5474600626,1662034400198,1565.06
vividseats-VB5732995265,1662034308064,382
vividseats-VB5732995265,1662034334308,382
vividseats-VB5732995265,1662034400198,382
vividseats-VB5407972462,1662034308064,717
vividseats-VB5407972462,1662034334308,717
vividseats-VB5407972462,1662034400198,717
seatgeek-w3JsqZLR3ve,1662034308064,363
seatgeek-w3JsqZLR3ve,1662034334308,380
seatgeek-w3JsqZLR3ve,1662034400198,372
vividseats-VB5734718244,1662034308064,691
vividseats-VB5734718244,1662034334308,691
vividseats-VB5734718244,1662034400198,691
stubhub-5426251216,1662034308064,9694.18
stubhub-5426251216,1662034334308,9694.18
stubhub-5426251216,1662034400198,9694.18
seatgeek-rVOH8d8B5eL,1662034308064,468
seatgeek-rVOH8d8B5eL,1662034334308,489
seatgeek-rVOH8d8B5eL,1662034400198,479
vividseats-VB5735158080,1662034308064,8355
vividseats-VB5735158080,1662034334308,8355
vividseats-VB5735158080,1662034400198,8355
seatgeek-qVjH7owvAYX,1662034308064,2926
seatgeek-qVjH7owvAYX,1662034334308,3060
seatgeek-qVjH7owvAYX,1662034400198,2993
seatgeek-YgJtqPVmEqz,1662034308064,520
seatgeek-YgJtqPVmEqz,1662034334308,544
seatgeek-YgJtqPVmEqz,1662034400198,532
seatgeek-2v0clbjqevY,1662034308064,353
seatgeek-2v0clbjqevY,1662034334308,369
seatgeek-2v0clbjqevY,1662034400198,361
stubhub-5477361558,1662034308064,2636.9
stubhub-5477361558,1662034334308,2636.9
stubhub-5477361558,1662034400198,2636.9
seatgeek-eeac54ebow3,1662034308064,584
seatgeek-eeac54ebow3,1662034334308,610
seatgeek-eeac54ebow3,1662034400198,597
vividseats-VB5655592895,1662034308064,366
vividseats-VB5655592895,1662034334308,366
vividseats-VB5655592895,1662034400198,366
stubhub-5334891116,1662034308064,713
stubhub-5334891116,1662034334308,713
stubhub-5334891116,1662034400198,713
stubhub-5474052791,1662034308064,6930
stubhub-5474052791,1662034334308,6930
stubhub-5474052791,1662034400198,6930
seatgeek-V4KUm5J6vG2,1662034308064,340
seatgeek-V4KUm5J6vG2,1662034334308,355
seatgeek-V4KUm5J6vG2,1662034400198,347
vividseats-VB5734514655,1662034308064,1308
vividseats-VB5734514655,1662034334308,1308
vividseats-VB5734514655,1662034400198,1308
seatgeek-4vXcG7GYBqz,1662034308064,1283
seatgeek-4vXcG7GYBqz,1662034334308,1342
seatgeek-4vXcG7GYBqz,1662034400198,1313
vividseats-VB5718481424,1662034308064,852
vividseats-VB5718481424,1662034334308,852
vividseats-VB5718481424,1662034400198,852
vividseats-VB5734625695,1662034308064,2941
vividseats-VB5734625695,1662034334308,2941
vividseats-VB5734625695,1662034400198,2941
vividseats-VB5407972463,1662034308064,766
vividseats-VB5407972463,1662034334308,766
vividseats-VB5407972463,1662034400198,766
stubhub-5464991341,1662034308064,1305
stubhub-5464991341,1662034334308,1305
stubhub-5464991341,1662034400198,1305
stubhub-5477362124,1662034308064,2345.43
stubhub-5477362124,1662034334308,2345.43
stubhub-5477362124,1662034400198,2345.43
vividseats-VB4925844660,1662034308064,1060
vividseats-VB4925844660,1662034334308,1060
vividseats-VB4925844660,1662034400198,1060
seatgeek-05VTRLG0aZq,1662034308064,2305
seatgeek-05VTRLG0aZq,1662034334308,2410
seatgeek-05VTRLG0aZq,1662034400198,2357
seatgeek-GAaIOgjlorl,1662034308064,400
seatgeek-GAaIOgjlorl,1662034334308,418
seatgeek-GAaIOgjlorl,1662034400198,409
stubhub-5475016924,1662034308064,397.67
stubhub-5475016924,1662034334308,397.67
stubhub-5475016924,1662034400198,397.67
stubhub-5463402979,1662034308064,557.75
stubhub-5463402979,1662034334308,557.75
stubhub-5463402979,1662034400198,557.75
seatgeek-rVOH8d8rr2D,1662034308064,562
seatgeek-rVOH8d8rr2D,1662034334308,588
seatgeek-rVOH8d8rr2D,1662034400198,575
vividseats-VB5740946402,1662034308064,337
vividseats-VB5740946402,1662034334308,337
vividseats-VB5740946402,1662034400198,337
stubhub-5477472229,1662034308064,877.45
stubhub-5477472229,1662034334308,877.45
stubhub-5477472229,1662034400198,877.45
seatgeek-jDvsEoEGKvK,1662034308064,746
seatgeek-jDvsEoEGKvK,1662034334308,780
seatgeek-jDvsEoEGKvK,1662034400198,763
vividseats-VB5740945297,1662034308064,473
vividseats-VB5740945297,1662034334308,473
vividseats-VB5740945297,1662034400198,473
vividseats-VB5742395982,1662034400198,264
seatgeek-b4wURPP7j0G,1662034308064,5122
seatgeek-b4wURPP7j0G,1662034334308,5357
seatgeek-b4wURPP7j0G,1662034400198,5240
seatgeek-9P2cxe0jddM,1662034308064,508
seatgeek-9P2cxe0jddM,1662034334308,531
seatgeek-9P2cxe0jddM,1662034400198,519
seatgeek-GAaIO3OO9Jw,1662034308064,699
seatgeek-GAaIO3OO9Jw,1662034334308,731
seatgeek-GAaIO3OO9Jw,1662034400198,715
vividseats-VB5738699409,1662034308064,3633
vividseats-VB5738699409,1662034334308,3633
vividseats-VB5738699409,1662034400198,3633
seatgeek-6mOhKZK34PJ,1662034308064,1358
seatgeek-6mOhKZK34PJ,1662034334308,1420
seatgeek-6mOhKZK34PJ,1662034400198,1389
vividseats-VB5265610050,1662034308064,320
vividseats-VB5265610050,1662034334308,320
vividseats-VB5265610050,1662034400198,320
vividseats-VB5604728186,1662034308064,902
vividseats-VB5604728186,1662034334308,902
vividseats-VB5604728186,1662034400198,902
vividseats-VB5740567383,1662034308064,371
vividseats-VB5740567383,1662034334308,371
vividseats-VB5740567383,1662034400198,371
vividseats-VB5738636277,1662034308064,357
vividseats-VB5738636277,1662034334308,357
vividseats-VB5738636277,1662034400198,357
stubhub-5474489367,1662034308064,844.15
stubhub-5474489367,1662034334308,844.15
stubhub-5474489367,1662034400198,844.15
seatgeek-2v0clbArvkm,1662034308064,1350
seatgeek-2v0clbArvkm,1662034334308,1412
seatgeek-2v0clbArvkm,1662034400198,1381
seatgeek-g48UG3a7qGY,1662034308064,693
seatgeek-g48UG3a7qGY,1662034334308,725
seatgeek-g48UG3a7qGY,1662034400198,709
vividseats-VB5740841461,1662034308064,5465
vividseats-VB5740841461,1662034334308,5465
vividseats-VB5740841461,1662034400198,5465
seatgeek-KezcrJgRY5n,1662034308064,952
seatgeek-KezcrJgRY5n,1662034334308,995
seatgeek-KezcrJgRY5n,1662034400198,973
vividseats-VB5734343981,1662034308064,849
vividseats-VB5734343981,1662034334308,849
vividseats-VB5734343981,1662034400198,849
seatgeek-lxVsqEaoX5A,1662034308064,550
seatgeek-lxVsqEaoX5A,1662034334308,575
seatgeek-lxVsqEaoX5A,1662034400198,562
vividseats-VB5660375236,1662034308064,333
vividseats-VB5660375236,1662034334308,333
vividseats-VB5660375236,1662034400198,333
vividseats-VB5734591048,1662034308064,312
vividseats-VB5734591048,1662034334308,312
vividseats-VB5734591048,1662034400198,312
vividseats-VB5283769502,1662034308064,464
vividseats-VB5283769502,1662034334308,464
vividseats-VB5283769502,1662034400198,464
stubhub-5473680902,1662034308064,980
stubhub-5473680902,1662034334308,980
stubhub-5473680902,1662034400198,980
stubhub-5477682201,1662034308064,525.29
stubhub-5477682201,1662034334308,525.29
stubhub-5477682201,1662034400198,525.29
vividseats-VB5740574016,1662034308064,368
vividseats-VB5740574016,1662034334308,368
vividseats-VB5740574016,1662034400198,368
stubhub-5426252546,1662034308064,9694.18
stubhub-5426252546,1662034334308,9694.18
stubhub-5426252546,1662034400198,9694.18
stubhub-5423419771,1662034308064,470.25
stubhub-5423419771,1662034334308,470.25
stubhub-5423419771,1662034400198,470.25
seatgeek-vb3iYnYRKb5,1662034308064,6246
seatgeek-vb3iYnYRKb5,1662034334308,6532
seatgeek-vb3iYnYRKb5,1662034400198,6389
stubhub-5360393555,1662034308064,1023.85
stubhub-5360393555,1662034334308,1023.85
stubhub-5360393555,1662034400198,1023.85
seatgeek-g48UG3a3ozr,1662034308064,961
seatgeek-g48UG3a3ozr,1662034334308,1005
seatgeek-g48UG3a3ozr,1662034400198,983
vividseats-VB5655593039,1662034308064,584
vividseats-VB5655593039,1662034334308,584
vividseats-VB5655593039,1662034400198,584
vividseats-VB5741018432,1662034308064,496
vividseats-VB5741018432,1662034334308,496
vividseats-VB5741018432,1662034400198,496
seatgeek-3q7fvlRjper,1662034308064,4374
seatgeek-3q7fvlRjper,1662034334308,4574
seatgeek-3q7fvlRjper,1662034400198,4474
seatgeek-LbviXwXnj2p,1662034308064,322
seatgeek-LbviXwXnj2p,1662034334308,337
seatgeek-LbviXwXnj2p,1662034400198,329
vividseats-VB5735969971,1662034308064,2181
vividseats-VB5735969971,1662034334308,2181
vividseats-VB5735969971,1662034400198,2181
seatgeek-MAeIBM02JGD,1662034308064,3061
seatgeek-MAeIBM02JGD,1662034334308,3201
seatgeek-MAeIBM02JGD,1662034400198,3131
seatgeek-Zm9h6GGXDlv,1662034308064,898
seatgeek-Zm9h6GGXDlv,1662034334308,939
seatgeek-Zm9h6GGXDlv,1662034400198,918
stubhub-5469748142,1662034308064,539.97
stubhub-5469748142,1662034334308,539.97
stubhub-5469748142,1662034400198,539.97
vividseats-VB5479583714,1662034308064,885
vividseats-VB5479583714,1662034334308,885
vividseats-VB5479583714,1662034400198,885
seatgeek-LbviXwXgvpY,1662034308064,261547
seatgeek-LbviXwXgvpY,1662034334308,273504
seatgeek-LbviXwXgvpY,1662034400198,267526
vividseats-VB5647955518,1662034308064,464
vividseats-VB5647955518,1662034334308,464
vividseats-VB5647955518,1662034400198,464
vividseats-VB5734676380,1662034308064,2049
vividseats-VB5734676380,1662034334308,2049
vividseats-VB5734676380,1662034400198,2049
seatgeek-Zm9h6K6jERm,1662034308064,472
seatgeek-Zm9h6K6jERm,1662034334308,494
seatgeek-Zm9h6K6jERm,1662034400198,483
seatgeek-g48UGEqdgX0,1662034308064,422
seatgeek-g48UGEqdgX0,1662034334308,441
seatgeek-g48UGEqdgX0,1662034400198,431
vividseats-VB5660375234,1662034308064,516
vividseats-VB5660375234,1662034334308,516
vividseats-VB5660375234,1662034400198,516
seatgeek-mxAsLmBpzb0,1662034308064,428
seatgeek-mxAsLmBpzb0,1662034334308,447
seatgeek-mxAsLmBpzb0,1662034400198,437
seatgeek-LbviXwXNNKM,1662034308064,623
seatgeek-LbviXwXNNKM,1662034334308,651
seatgeek-LbviXwXNNKM,1662034400198,637
seatgeek-5EjuqgqazLw,1662034308064,856
seatgeek-5EjuqgqazLw,1662034334308,896
seatgeek-5EjuqgqazLw,1662034400198,876
stubhub-5463626139,1662034308064,3103.22
stubhub-5463626139,1662034334308,3103.22
stubhub-5463626139,1662034400198,3103.22
vividseats-VB5742372165,1662034308064,343
vividseats-VB5742372165,1662034334308,343
vividseats-VB5742372165,1662034400198,343
vividseats-VB5741016239,1662034308064,499
vividseats-VB5741016239,1662034334308,499
vividseats-VB5741016239,1662034400198,499
vividseats-VB5734343995,1662034308064,1273
vividseats-VB5734343995,1662034334308,1273
vividseats-VB5734343995,1662034400198,1273
vividseats-VB5736601203,1662034308064,262760
vividseats-VB5736601203,1662034334308,262760
vividseats-VB5736601203,1662034400198,262760
vividseats-VB5660374801,1662034308064,333
vividseats-VB5660374801,1662034334308,333
vividseats-VB5660374801,1662034400198,333
stubhub-5477008629,1662034308064,3601.5
stubhub-5477008629,1662034334308,3601.5
stubhub-5477008629,1662034400198,3601.5
seatgeek-nx0swD5Lb9v,1662034308064,867
seatgeek-nx0swD5Lb9v,1662034334308,907
seatgeek-nx0swD5Lb9v,1662034400198,887
stubhub-5451732909,1662034308064,450
stubhub-5451732909,1662034334308,450
stubhub-5451732909,1662034400198,450
vividseats-VB5734660060,1662034308064,3898
vividseats-VB5734660060,1662034334308,3898
vividseats-VB5734660060,1662034400198,3898
seatgeek-w3JsqZ74OqA,1662034308064,855
seatgeek-w3JsqZ74OqA,1662034334308,894
seatgeek-w3JsqZ74OqA,1662034400198,875
stubhub-5474468352,1662034308064,429.45
stubhub-5474468352,1662034334308,429.45
stubhub-5474468352,1662034400198,429.45
seatgeek-g48UG3XgAJw,1662034308064,425
seatgeek-g48UG3XgAJw,1662034334308,444
seatgeek-g48UG3XgAJw,1662034400198,434
stubhub-5473756637,1662034308064,329.4
stubhub-5473756637,1662034308064,329.4
stubhub-5473756637,1662034334308,329.4
stubhub-5473756637,1662034334308,329.4
stubhub-5473756637,1662034400198,329.4
stubhub-5473756637,1662034400198,329.4
stubhub-5460496099,1662034308064,965.15
stubhub-5460496099,1662034334308,965.15
stubhub-5460496099,1662034400198,965.15
seatgeek-LbviX4A85Yg,1662034308064,424
seatgeek-LbviX4A85Yg,1662034334308,443
seatgeek-LbviX4A85Yg,1662034400198,433
stubhub-5477371071,1662034308064,1017.27
stubhub-5477371071,1662034334308,1017.27
stubhub-5477371071,1662034400198,1017.27
stubhub-5477932457,1662034308064,1533.89
stubhub-5477932457,1662034334308,1533.89
stubhub-5477932457,1662034400198,1533.89
vividseats-VB5740072097,1662034308064,362
vividseats-VB5740072097,1662034334308,362
vividseats-VB5740072097,1662034400198,362
vividseats-VB5740841182,1662034308064,627
vividseats-VB5740841182,1662034334308,627
vividseats-VB5740841182,1662034400198,627
stubhub-5475901514,1662034308064,2757.7
stubhub-5475901514,1662034334308,2757.7
stubhub-5475901514,1662034400198,2757.7
stubhub--5430426099,1662034334308,981.51
stubhub--5430426099,1662034400198,981.51
stubhub--5430426099,1662034400198,981.51
stubhub-5478020341,1662034308064,391.02
stubhub-5478020341,1662034334308,391.02
stubhub-5478020341,1662034400198,391.02
seatgeek-8lKt3VJaXj8,1662034308064,424
seatgeek-8lKt3VJaXj8,1662034334308,443
seatgeek-8lKt3VJaXj8,1662034400198,433
vividseats-VB5738636416,1662034308064,473
vividseats-VB5738636416,1662034334308,473
vividseats-VB5738636416,1662034400198,473
vividseats-VB5736596259,1662034308064,1290
vividseats-VB5736596259,1662034334308,1290
vividseats-VB5736596259,1662034400198,1290
vividseats-VB5734680727,1662034308064,4856
vividseats-VB5734680727,1662034334308,4856
vividseats-VB5734680727,1662034400198,4856
stubhub-5478010971,1662034308064,360
stubhub-5478010971,1662034334308,360
stubhub-5478010971,1662034400198,360
vividseats-VB5740841417,1662034308064,941
vividseats-VB5740841417,1662034334308,941
vividseats-VB5740841417,1662034400198,941
vividseats-VB5560436499,1662034308064,849
vividseats-VB5560436499,1662034334308,849
vividseats-VB5560436499,1662034400198,849
vividseats-VB5740763971,1662034308064,2851
vividseats-VB5740763971,1662034334308,2851
vividseats-VB5740763971,1662034400198,2851
seatgeek-JABI564Kn9X,1662034308064,466
seatgeek-JABI564Kn9X,1662034334308,487
seatgeek-JABI564Kn9X,1662034400198,476
seatgeek-6mOhKpXbA7r,1662034308064,383
seatgeek-6mOhKpXbA7r,1662034334308,401
seatgeek-6mOhKpXbA7r,1662034400198,392
seatgeek-lxVsqJwExJB,1662034308064,397
seatgeek-lxVsqJwExJB,1662034334308,415
seatgeek-lxVsqJwExJB,1662034400198,406
seatgeek-agktEa6GoE8,1662034308064,1090
seatgeek-agktEa6GoE8,1662034334308,1139
seatgeek-agktEa6GoE8,1662034400198,1115
vividseats-VB5742310228,1662034308064,1235
vividseats-VB5742310228,1662034334308,1235
vividseats-VB5742310228,1662034400198,1235
seatgeek-9P2cxe4p6pY,1662034308064,593
seatgeek-9P2cxe4p6pY,1662034334308,620
seatgeek-9P2cxe4p6pY,1662034400198,606
seatgeek-z3EsDkEwYr8,1662034308064,3153
seatgeek-z3EsDkEwYr8,1662034334308,3297
seatgeek-z3EsDkEwYr8,1662034400198,3225
seatgeek-dNgUZXVB2GR,1662034308064,399
seatgeek-dNgUZXVB2GR,1662034334308,418
seatgeek-dNgUZXVB2GR,1662034400198,408
seatgeek-eeac54dqN5D,1662034308064,502
seatgeek-eeac54dqN5D,1662034334308,525
seatgeek-eeac54dqN5D,1662034400198,513
seatgeek-MAeIB5BpXmX,1662034308064,5470
seatgeek-MAeIB5BpXmX,1662034334308,5720
seatgeek-MAeIB5BpXmX,1662034400198,5595
seatgeek-agktE6E9kVZ,1662034308064,567
seatgeek-agktE6E9kVZ,1662034334308,593
seatgeek-agktE6E9kVZ,1662034400198,580
vividseats-VB5740944005,1662034308064,472
vividseats-VB5740944005,1662034334308,472
