ticket,timestampmillis,price
stubhub-5496377571,1662861991314,20347.85
vividseats-VB5771962277,1662861034307,9326
vividseats-VB5771962277,1662861101933,9326
vividseats-VB5771962277,1662861206691,9326
vividseats-VB5771962277,1662861364054,9326
vividseats-VB5771962277,1662861414019,9326
vividseats-VB5771962277,1662861799171,9326
vividseats-VB5771962277,1662861991314,9326
stubhub-5500250576,1662861034307,816.34
stubhub-5500250576,1662861101933,816.34
stubhub-5500250576,1662861206691,816.34
stubhub-5500250576,1662861364054,816.34
stubhub-5500250576,1662861414019,816.34
stubhub-5500250576,1662861799171,816.34
stubhub-5500250576,1662861991314,816.34
vividseats-VB5763966350,1662861034307,4162
vividseats-VB5763966350,1662861101933,4162
vividseats-VB5763966350,1662861206691,4162
vividseats-VB5763966350,1662861364054,4162
vividseats-VB5763966350,1662861414019,4162
vividseats-VB5763966350,1662861799171,4162
seatgeek-agktE6EeMae,1662861034307,3295
seatgeek-agktE6EeMae,1662861101933,3151
seatgeek-agktE6EeMae,1662861206691,3223
seatgeek-agktE6EeMae,1662861364054,3295
seatgeek-agktE6EeMae,1662861414019,3295
seatgeek-agktE6EeMae,1662861799171,3223
seatgeek-agktE6EeMae,1662861991314,3295
stubhub-5499960547,1662861034307,598.96
stubhub-5499960547,1662861101933,598.96
stubhub-5499960547,1662861206691,598.96
stubhub-5499960547,1662861364054,598.96
stubhub-5499960547,1662861414019,598.96
stubhub-5499960547,1662861799171,598.96
stubhub-5499960547,1662861991314,598.96
seatgeek-05VTRJ6jAoL,1662861034307,1308
seatgeek-05VTRJ6jAoL,1662861101933,1250
seatgeek-05VTRJ6jAoL,1662861206691,1257
stubhub-5489062254,1662861034307,2631.6
stubhub-5489062254,1662861101933,2631.6
stubhub-5489062254,1662861206691,2631.6
stubhub-5489062254,1662861364054,2631.6
stubhub-5489062254,1662861414019,2631.6
stubhub-5489062254,1662861799171,2631.6
stubhub-5489062254,1662861991314,2631.6
seatgeek-05VTRLgZVp0,1662861034307,1877
seatgeek-05VTRLgZVp0,1662861101933,1795
seatgeek-05VTRLgZVp0,1662861206691,1836
stubhub-5488368810,1662861034307,3308.98
stubhub-5488368810,1662861101933,3308.98
stubhub-5488368810,1662861206691,3308.98
stubhub-5488368810,1662861364054,3308.98
stubhub-5488368810,1662861414019,3308.98
stubhub-5488368810,1662861799171,3308.98
stubhub-5488368810,1662861991314,3308.98
stubhub-5500689886,1662861034307,5805
stubhub-5500689886,1662861101933,5805
stubhub-5500689886,1662861206691,5805
stubhub-5500689886,1662861364054,5805
stubhub-5500689886,1662861414019,5805
stubhub-5500689886,1662861799171,5805
stubhub-5500689886,1662861991314,5805
vividseats-VB5771997369,1662861034307,3051
vividseats-VB5771997369,1662861101933,3051
vividseats-VB5771997369,1662861206691,3051
vividseats-VB5771997369,1662861364054,3051
vividseats-VB5771997369,1662861414019,3051
vividseats-VB5771997369,1662861799171,3051
vividseats-VB5771997369,1662861991314,3051
vividseats-VB5769549583,1662861034307,325
vividseats-VB5769549583,1662861101933,325
vividseats-VB5769549583,1662861206691,325
vividseats-VB5769549583,1662861364054,325
vividseats-VB5769549583,1662861414019,325
vividseats-VB5769549583,1662861799171,298
vividseats-VB5769549583,1662861991314,298
vividseats-VB5771915043,1662861034307,2174
vividseats-VB5771915043,1662861101933,2174
vividseats-VB5771915043,1662861206691,2174
vividseats-VB5771915043,1662861364054,2174
vividseats-VB5771915043,1662861414019,2174
vividseats-VB5771915043,1662861799171,2174
vividseats-VB5771915043,1662861991314,2174
seatgeek-dNgUZXgRzwY,1662861034307,483
seatgeek-dNgUZXgRzwY,1662861101933,462
seatgeek-dNgUZXgRzwY,1662861206691,473
seatgeek-dNgUZXgRzwY,1662861364054,483
seatgeek-dNgUZXgRzwY,1662861414019,483
seatgeek-dNgUZXgRzwY,1662861799171,473
seatgeek-dNgUZXgRzwY,1662861991314,483
seatgeek-jDvsEozgvJk,1662861034307,1761
seatgeek-jDvsEozgvJk,1662861101933,1684
seatgeek-jDvsEozgvJk,1662861206691,1722
seatgeek-jDvsEozgvJk,1662861364054,1761
seatgeek-jDvsEozgvJk,1662861414019,1761
seatgeek-jDvsEozgvJk,1662861799171,1722
seatgeek-jDvsEozgvJk,1662861991314,1761
seatgeek-GAaIO3XEYbR,1662861034307,4878
seatgeek-GAaIO3XEYbR,1662861101933,4665
seatgeek-GAaIO3XEYbR,1662861206691,4772
seatgeek-GAaIO3XEYbR,1662861364054,4878
seatgeek-GAaIO3XEYbR,1662861414019,4878
seatgeek-GAaIO3XEYbR,1662861799171,4772
seatgeek-GAaIO3XEYbR,1662861991314,4878
vividseats-VB5771983835,1662861034307,1680
vividseats-VB5771983835,1662861101933,1680
vividseats-VB5771983835,1662861206691,1680
vividseats-VB5771983835,1662861364054,1680
vividseats-VB5771983835,1662861414019,1680
vividseats-VB5771983835,1662861799171,1680
vividseats-VB5771983835,1662861991314,1680
vividseats-VB5772487880,1662861034307,1406
vividseats-VB5772487880,1662861101933,1406
vividseats-VB5772487880,1662861206691,1406
vividseats-VB5772487880,1662861364054,1406
vividseats-VB5772487880,1662861414019,1406
vividseats-VB5772487880,1662861799171,1406
vividseats-VB5772487880,1662861991314,1406
seatgeek-jDvsEmNooqj,1662861034307,1636
seatgeek-jDvsEmNooqj,1662861101933,1565
seatgeek-jDvsEmNooqj,1662861206691,1601
seatgeek-jDvsEmNooqj,1662861364054,1636
seatgeek-jDvsEmNooqj,1662861414019,1636
seatgeek-jDvsEmNooqj,1662861799171,1601
seatgeek-jDvsEmNooqj,1662861991314,1636
stubhub-5501324482,1662861034307,1331.1
stubhub-5501324482,1662861101933,1331.1
stubhub-5501324482,1662861206691,1331.1
stubhub-5501324482,1662861364054,1331.1
stubhub-5501324482,1662861414019,1331.1
stubhub-5501324482,1662861799171,1331.1
stubhub-5501324482,1662861991314,1331.1
vividseats-VB5771986879,1662861034307,2677
vividseats-VB5771986879,1662861101933,2677
vividseats-VB5771986879,1662861206691,2677
vividseats-VB5771986879,1662861364054,2677
vividseats-VB5771986879,1662861414019,2677
vividseats-VB5771986879,1662861799171,2677
vividseats-VB5771986879,1662861991314,2677
seatgeek-g48UGEGB7zj,1662861034307,1413
seatgeek-g48UGEGB7zj,1662861101933,1351
seatgeek-g48UGEGB7zj,1662861206691,1382
seatgeek-g48UGEGB7zj,1662861364054,1413
seatgeek-g48UGEGB7zj,1662861414019,1413
seatgeek-g48UGEGB7zj,1662861799171,1382
seatgeek-g48UGEGB7zj,1662861991314,1413
seatgeek-lxVsqEMPe4v,1662861034307,1663
seatgeek-lxVsqEMPe4v,1662861101933,1590
seatgeek-lxVsqEMPe4v,1662861206691,1627
seatgeek-lxVsqEMPe4v,1662861364054,1663
seatgeek-lxVsqEMPe4v,1662861414019,1663
seatgeek-lxVsqEMPe4v,1662861799171,1627
seatgeek-lxVsqEMPe4v,1662861991314,1663
stubhub-5490305374,1662861034307,503.5
stubhub-5490305374,1662861101933,503.5
stubhub-5490305374,1662861206691,503.5
stubhub-5490305374,1662861364054,503.5
stubhub-5490305374,1662861414019,503.5
stubhub-5490305374,1662861799171,503.5
stubhub-5490305374,1662861991314,503.5
stubhub-5492032636,1662861034307,1708.52
stubhub-5492032636,1662861101933,1708.52
stubhub-5492032636,1662861206691,1708.52
stubhub-5492032636,1662861364054,1708.52
stubhub-5492032636,1662861414019,1708.52
stubhub-5492032636,1662861799171,1708.52
stubhub-5492032636,1662861991314,1708.52
vividseats-VB5769549217,1662861034307,1289
vividseats-VB5769549217,1662861101933,1289
vividseats-VB5769549217,1662861206691,1289
vividseats-VB5769549217,1662861364054,1289
vividseats-VB5769549217,1662861414019,1289
vividseats-VB5769549217,1662861799171,1289
vividseats-VB5769549217,1662861991314,1289
seatgeek-rVOH8d8Rq4V,1662861034307,3114
seatgeek-rVOH8d8Rq4V,1662861101933,2978
seatgeek-rVOH8d8Rq4V,1662861206691,3046
seatgeek-rVOH8d8Rq4V,1662861364054,3114
seatgeek-rVOH8d8Rq4V,1662861414019,3114
seatgeek-rVOH8d8Rq4V,1662861799171,3046
seatgeek-rVOH8d8Rq4V,1662861991314,3114
seatgeek-NrqUJMk0ZYg,1662861034307,1299
seatgeek-NrqUJMk0ZYg,1662861101933,1242
seatgeek-NrqUJMk0ZYg,1662861206691,1270
seatgeek-NrqUJMk0ZYg,1662861364054,1299
seatgeek-NrqUJMk0ZYg,1662861414019,1299
seatgeek-NrqUJMk0ZYg,1662861799171,1270
seatgeek-NrqUJMk0ZYg,1662861991314,1299
vividseats-VB5772122426,1662861034307,2045
vividseats-VB5772122426,1662861101933,2045
vividseats-VB5772122426,1662861206691,2045
vividseats-VB5772122426,1662861364054,2045
vividseats-VB5772122426,1662861414019,2045
vividseats-VB5772122426,1662861799171,2045
vividseats-VB5772122426,1662861991314,2045
stubhub-5501258455,1662861034307,2262.82
stubhub-5501258455,1662861101933,2262.82
stubhub-5501258455,1662861206691,2262.82
seatgeek-rVOH8d4V9aD,1662861034307,317
seatgeek-rVOH8d4V9aD,1662861101933,303
seatgeek-rVOH8d4V9aD,1662861206691,310
seatgeek-rVOH8d4V9aD,1662861364054,317
seatgeek-rVOH8d4V9aD,1662861414019,317
seatgeek-rVOH8d4V9aD,1662861799171,310
seatgeek-rVOH8d4V9aD,1662861991314,317
stubhub-5490096445,1662861034307,2017.94
stubhub-5490096445,1662861101933,2017.94
stubhub-5490096445,1662861206691,2017.94
stubhub-5490096445,1662861364054,2017.94
stubhub-5490096445,1662861414019,2017.94
stubhub-5490096445,1662861799171,2017.94
stubhub-5490096445,1662861991314,2017.94
seatgeek-4vXcG7jDOE4,1662861034307,1576
seatgeek-4vXcG7jDOE4,1662861101933,1507
seatgeek-4vXcG7jDOE4,1662861206691,1541
seatgeek-4vXcG7jDOE4,1662861364054,1576
seatgeek-4vXcG7jDOE4,1662861414019,1576
seatgeek-4vXcG7jDOE4,1662861799171,1541
seatgeek-4vXcG7jDOE4,1662861991314,1576
stubhub-5481629859,1662861034307,9689.48
stubhub-5481629859,1662861101933,9689.48
stubhub-5481629859,1662861206691,9689.48
stubhub-5481629859,1662861364054,9689.48
stubhub-5481629859,1662861414019,9689.48
stubhub-5481629859,1662861799171,9689.48
stubhub-5481629859,1662861991314,9689.48
seatgeek-YgJtqMGpxXA,1662861034307,1267
seatgeek-YgJtqMGpxXA,1662861101933,1211
seatgeek-YgJtqMGpxXA,1662861206691,1239
seatgeek-YgJtqMGpxXA,1662861364054,1267
seatgeek-YgJtqMGpxXA,1662861414019,1267
seatgeek-YgJtqMGpxXA,1662861799171,1239
seatgeek-YgJtqMGpxXA,1662861991314,1267
seatgeek-xb9ianoqwDO,1662861034307,12347
seatgeek-xb9ianoqwDO,1662861101933,11807
seatgeek-xb9ianoqwDO,1662861206691,12077
seatgeek-xb9ianoqwDO,1662861364054,12347
seatgeek-xb9ianoqwDO,1662861414019,12347
seatgeek-xb9ianoqwDO,1662861799171,12077
seatgeek-xb9ianoqwDO,1662861991314,12347
stubhub-5494075495,1662861034307,5704.78
stubhub-5494075495,1662861101933,5704.78
stubhub-5494075495,1662861206691,5704.78
stubhub-5494075495,1662861364054,5704.78
stubhub-5494075495,1662861414019,5704.78
stubhub-5494075495,1662861799171,5704.78
stubhub-5494075495,1662861991314,5704.78
vividseats-VB5772022020,1662861034307,13661
vividseats-VB5772022020,1662861101933,13661
vividseats-VB5772022020,1662861206691,13661
vividseats-VB5772022020,1662861364054,13661
vividseats-VB5772022020,1662861414019,13661
vividseats-VB5772022020,1662861799171,13661
vividseats-VB5772022020,1662861991314,13661
stubhub-5501691998,1662861034307,337.5
stubhub-5501691998,1662861101933,337.5
stubhub-5501691998,1662861206691,337.5
stubhub-5501691998,1662861364054,337.5
stubhub-5501691998,1662861414019,337.5
stubhub-5501691998,1662861799171,337.5
stubhub-5501691998,1662861991314,337.5
vividseats-VB5772153589,1662861034307,1999
vividseats-VB5772153589,1662861101933,1999
vividseats-VB5772153589,1662861206691,1999
vividseats-VB5772153589,1662861364054,1999
vividseats-VB5772153589,1662861414019,1999
vividseats-VB5772153589,1662861799171,1999
vividseats-VB5772153589,1662861991314,1999
vividseats-VB5771248083,1662861034307,1551
vividseats-VB5771248083,1662861101933,1551
vividseats-VB5771248083,1662861206691,1551
vividseats-VB5771248083,1662861364054,1551
vividseats-VB5771248083,1662861414019,1551
vividseats-VB5771248083,1662861799171,1551
vividseats-VB5771248083,1662861991314,1551
vividseats-VB5771217323,1662861034307,536
vividseats-VB5771217323,1662861101933,536
vividseats-VB5771217323,1662861206691,536
vividseats-VB5771217323,1662861364054,536
vividseats-VB5771217323,1662861414019,536
vividseats-VB5771217323,1662861799171,536
vividseats-VB5771217323,1662861991314,536
seatgeek-b4wURPaLdbo,1662861034307,701
seatgeek-b4wURPaLdbo,1662861101933,671
seatgeek-b4wURPaLdbo,1662861206691,686
seatgeek-b4wURPaLdbo,1662861364054,701
seatgeek-b4wURPaLdbo,1662861414019,701
seatgeek-b4wURPaLdbo,1662861799171,686
seatgeek-b4wURPaLdbo,1662861991314,701
vividseats-VB5772969927,1662861034307,294
vividseats-VB5772969927,1662861101933,294
vividseats-VB5772969927,1662861206691,294
vividseats-VB5772969927,1662861364054,294
vividseats-VB5772969927,1662861414019,294
vividseats-VB5772969927,1662861799171,294
vividseats-VB5772969927,1662861991314,294
vividseats-VB5772922691,1662861034307,185
vividseats-VB5772922691,1662861101933,185
vividseats-VB5772922691,1662861206691,185
vividseats-VB5772922691,1662861364054,185
vividseats-VB5772922691,1662861414019,185
vividseats-VB5772922691,1662861799171,185
vividseats-VB5772922691,1662861991314,185
vividseats-VB5758125986,1662861034307,453
vividseats-VB5758125986,1662861101933,453
vividseats-VB5758125986,1662861206691,453
vividseats-VB5758125986,1662861364054,453
vividseats-VB5758125986,1662861414019,453
vividseats-VB5758125986,1662861799171,453
vividseats-VB5758125986,1662861991314,453
vividseats-VB5771989297,1662861034307,3109
vividseats-VB5771989297,1662861101933,3109
vividseats-VB5771989297,1662861206691,3109
vividseats-VB5771989297,1662861364054,3109
vividseats-VB5771989297,1662861414019,3109
vividseats-VB5771989297,1662861799171,3109
vividseats-VB5771989297,1662861991314,3109
seatgeek-3q7fv0q3R06,1662861034307,7441
seatgeek-3q7fv0q3R06,1662861101933,7116
seatgeek-3q7fv0q3R06,1662861206691,7279
seatgeek-3q7fv0q3R06,1662861364054,7441
seatgeek-3q7fv0q3R06,1662861414019,7441
seatgeek-3q7fv0q3R06,1662861799171,7279
seatgeek-3q7fv0q3R06,1662861991314,7441
seatgeek-rVOH8dk95PZ,1662861034307,3021
seatgeek-rVOH8dk95PZ,1662861101933,2889
seatgeek-rVOH8dk95PZ,1662861206691,2955
seatgeek-rVOH8dk95PZ,1662861364054,3021
seatgeek-rVOH8dk95PZ,1662861414019,3021
seatgeek-rVOH8dk95PZ,1662861799171,2955
seatgeek-rVOH8dk95PZ,1662861991314,3021
seatgeek-z3EsDz6Ao5x,1662861034307,2162
seatgeek-z3EsDz6Ao5x,1662861101933,2068
seatgeek-z3EsDz6Ao5x,1662861206691,2115
seatgeek-z3EsDz6Ao5x,1662861364054,2162
seatgeek-z3EsDz6Ao5x,1662861414019,2162
seatgeek-z3EsDz6Ao5x,1662861799171,2115
seatgeek-z3EsDz6Ao5x,1662861991314,2162
vividseats-VB5771910794,1662861034307,1815
vividseats-VB5771910794,1662861101933,1815
vividseats-VB5771910794,1662861206691,1815
vividseats-VB5771910794,1662861364054,1815
vividseats-VB5771910794,1662861414019,1815
vividseats-VB5771910794,1662861799171,1815
vividseats-VB5771910794,1662861991314,1815
stubhub-5490064241,1662861034307,32590.73
stubhub-5490064241,1662861101933,32590.73
stubhub-5490064241,1662861206691,32590.73
stubhub-5490064241,1662861364054,32590.73
stubhub-5490064241,1662861414019,32590.73
stubhub-5490064241,1662861799171,32590.73
stubhub-5490064241,1662861991314,32590.73
stubhub-5497815663,1662861034307,731.4
stubhub-5497815663,1662861101933,731.4
stubhub-5497815663,1662861206691,722.2
stubhub-5497815663,1662861364054,722.2
stubhub-5497815663,1662861414019,722.2
stubhub-5497815663,1662861799171,722.2
stubhub-5497815663,1662861991314,722.2
stubhub-5501829754,1662861034307,367.98
stubhub-5501829754,1662861101933,367.98
stubhub-5501829754,1662861206691,367.98
stubhub-5501829754,1662861364054,338.58
stubhub-5501829754,1662861414019,338.58
stubhub-5501829754,1662861799171,338.58
stubhub-5501829754,1662861991314,338.58
stubhub-5492958783,1662861034307,7650.69
stubhub-5492958783,1662861101933,7650.69
stubhub-5492958783,1662861206691,7650.69
stubhub-5492958783,1662861364054,7650.69
stubhub-5492958783,1662861414019,7650.69
stubhub-5492958783,1662861799171,7650.69
stubhub-5492958783,1662861991314,7650.69
seatgeek-GAaIO36DpEO,1662861034307,2076
seatgeek-GAaIO36DpEO,1662861101933,1986
seatgeek-GAaIO36DpEO,1662861206691,2031
seatgeek-GAaIO36DpEO,1662861364054,2076
seatgeek-GAaIO36DpEO,1662861414019,2076
seatgeek-GAaIO36DpEO,1662861799171,2031
seatgeek-GAaIO36DpEO,1662861991314,2076
