ticket,site,row,section,title,note,url,distinctPricesCount,maxTimestampmillis
seatgeek-3q7fv0NLaOJ,seatgeek,G,136,Section 136 Row G,Section 136 Row G,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=3q7fv0NLaOJ,3,1662861991314
stubhub-5500246731,stubhub,L,128,Loge,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5500246731,2,1662910313356
stubhub-5501829754,stubhub,N,313,Promenade,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5501829754,2,1662863508793
seatgeek-mxAsLmL9MlK,seatgeek,E,117,Section 117 Row E,Section 117 Row E,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=mxAsLmL9MlK,7,1662915540540
vividseats-VB5769549261,vividseats,N,101,Loge 101,,https://www.vividseats.com//production/3736730?showDetails=VB5769549261&qty=1,2,1662909017574
stubhub-5500246702,stubhub,D,47,Courtside,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5500246702,3,1662910745042
seatgeek-z3EsDkq5k83,seatgeek,R,307,Section 307 Row R,Section 307 Row R,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=z3EsDkq5k83,6,1662916838282
vividseats-VB5771490726,vividseats,D,53,Courtside 53,,https://www.vividseats.com//production/3736730?showDetails=VB5771490726&qty=1,5,1662902168881
vividseats-VB5773091880,vividseats,X,335,Promenade 335,,https://www.vividseats.com//production/3736730?showDetails=VB5773091880&qty=1,1,1662863508793
vividseats-VB5773805471,vividseats,K,130,Loge 130,,https://www.vividseats.com//production/3736730?showDetails=VB5773805471&qty=1,6,1662916406473
stubhub-5490064241,stubhub,E,51,Courtside,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5490064241,1,1662861991314
vividseats-VB5769248494,vividseats,B,57,Courtside 57,,https://www.vividseats.com//production/3736730?showDetails=VB5769248494&qty=1,13,1662920603435
seatgeek-Zm9h6K4V000,seatgeek,V,333,Section 333 Row V,Section 333 Row V,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=Zm9h6K4V000,3,1662861991314
stubhub-5502766452,stubhub,J,125,Loge,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5502766452,1,1662908585357
seatgeek-6mOhKZgP3Gk,seatgeek,J,119,Section 119 Row J,Section 119 Row J,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=6mOhKZgP3Gk,2,1662908585357
vividseats-VB5773091652,vividseats,S,316,Promenade 316,,https://www.vividseats.com//production/3736730?showDetails=VB5773091652&qty=1,1,1662863508793
stubhub-5494079069,stubhub,H,308,Promenade,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5494079069,1,1662861991314
stubhub-5492207700,stubhub,A,302,Promenade,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5492207700,2,1662895455075
vividseats-VB5773093106,vividseats,S,307,Promenade 307,,https://www.vividseats.com//production/3736730?showDetails=VB5773093106&qty=1,1,1662863508793
seatgeek-g48UG3Gl3go,seatgeek,L,305,Section 305 Row L,Section 305 Row L,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=g48UG3Gl3go,3,1662861991314
vividseats-VB5772035831,vividseats,T,329,Promenade 329,,https://www.vividseats.com//production/3736730?showDetails=VB5772035831&qty=1,1,1662861991314
vividseats-VB5771942149,vividseats,J,318,Promenade 318,,https://www.vividseats.com//production/3736730?showDetails=VB5771942149&qty=1,1,1662861991314
vividseats-VB5771986879,vividseats,N,301,Promenade 301,,https://www.vividseats.com//production/3736730?showDetails=VB5771986879&qty=1,1,1662861991314
seatgeek-mxAsLmLnAAK,seatgeek,D,113,Section 113 Row D,Section 113 Row D,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=mxAsLmLnAAK,3,1662861991314
seatgeek-2v0clPzjaza,seatgeek,N,325,Section 325 Row N,Section 325 Row N,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=2v0clPzjaza,3,1662861991314
stubhub-5501851988,stubhub,,GROUNDS PASS - VIEWING PARTY,,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5501851988,1,1662902168881
stubhub-5501530711,stubhub,L,101,Loge,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5501530711,2,1662911608655
vividseats-VB5773092741,vividseats,E,121,Loge 121,,https://www.vividseats.com//production/3736730?showDetails=VB5773092741&qty=1,1,1662863508793
vividseats-VB5773092593,vividseats,G,335,Promenade 335,,https://www.vividseats.com//production/3736730?showDetails=VB5773092593&qty=1,1,1662863508793
seatgeek-MAeIB58BaGg,seatgeek,U,308,Section 308 Row U,Section 308 Row U,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=MAeIB58BaGg,3,1662916838282
vividseats-VB5774170261,vividseats,N,127,Loge 127,,https://www.vividseats.com//production/3736730?showDetails=VB5774170261&qty=1,2,1662909017574
vividseats-VB5773995960,vividseats,J,133,Loge 133,,https://www.vividseats.com//production/3736730?showDetails=VB5773995960&qty=1,1,1662905529710
vividseats-VB5756366199,vividseats,N,338,Promenade 338,,https://www.vividseats.com//production/3736730?showDetails=VB5756366199&qty=1,2,1662916838282
seatgeek-2v0clPzqGAb,seatgeek,F,325,Section 325 Row F,Section 325 Row F,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=2v0clPzqGAb,17,1662920169999
stubhub-5491475306,stubhub,W,328,Promenade,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5491475306,1,1662863508793
stubhub-5501849346,stubhub,E,132,Loge,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5501849346,1,1662861991314
seatgeek-JABI5233bnZ,seatgeek,F,119,Section 119 Row F,Section 119 Row F,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=JABI5233bnZ,3,1662861991314
seatgeek-V4KUmN0K27R,seatgeek,S,324,Section 324 Row S,Section 324 Row S,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=V4KUmN0K27R,3,1662861991314
stubhub-5501561070,stubhub,M,130,Loge,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5501561070,1,1662863508793
vividseats-VB5771931986,vividseats,G,110,Loge 110,,https://www.vividseats.com//production/3736730?showDetails=VB5771931986&qty=1,1,1662861991314
stubhub-5501360916,stubhub,V,314,Promenade,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5501360916,2,1662921037695
