ticket,site,row,section,url
seatgeek-2v0clArdpOd,seatgeek,14,120,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clArdpOd
seatgeek-2v0clAro66D,seatgeek,4,209,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAro66D
seatgeek-2v0clAvk0d0,seatgeek,9,226,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAvk0d0
seatgeek-2v0clAvr94G,seatgeek,4,218,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAvr94G
seatgeek-2v0clAxDAEA,seatgeek,15,209,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAxDAEA
seatgeek-2v0clAxDApm,seatgeek,7,210,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAxDApm
seatgeek-2v0clAxDX2J,seatgeek,5,222,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAxDX2J
seatgeek-2v0clAxDXEN,seatgeek,15,209,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAxDXEN
seatgeek-2v0clAxDXdN,seatgeek,7,226,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAxDXdN
seatgeek-2v0clAxDXm3,seatgeek,6,224,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAxDXm3
seatgeek-2v0clAxDXoj,seatgeek,3,212,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAxDXoj
seatgeek-2v0clAxDXw3,seatgeek,9,222,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clAxDXw3
seatgeek-2v0clJ8E2xV,seatgeek,4,208,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clJ8E2xV
seatgeek-2v0clJaG8Pb,seatgeek,1,2,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clJaG8Pb
seatgeek-2v0clJaGbe6,seatgeek,13,117,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clJaGbe6
seatgeek-2v0clJaYLkX,seatgeek,16,115,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clJaYLkX
seatgeek-2v0clJaZ6jK,seatgeek,19,117,https://seatgeek.com/kings-at-knicks-tickets/1-31-2022-new-york-new-york-madison-square-garden/nba/5479697?listing=2v0clJaZ6jK
