roundedMaxTS,roundedMaxDate,site,sold,soldAccum,unsold,inventory
1644051600000,“2022-02-05T04:00:00-05:00”,vividseats,2,617,5736,6353
1644055200000,“2022-02-05T05:00:00-05:00”,stubhub,2,243,4780,5023
1644055200000,“2022-02-05T05:00:00-05:00”,seatgeek,2,131,2612,2743
1644055200000,“2022-02-05T05:00:00-05:00”,vividseats,2,619,5734,6353
1644058800000,“2022-02-05T06:00:00-05:00”,stubhub,0,243,4780,5023
1644058800000,“2022-02-05T06:00:00-05:00”,seatgeek,0,131,2612,2743
1644058800000,“2022-02-05T06:00:00-05:00”,vividseats,1,620,5733,6353
1644062400000,“2022-02-05T07:00:00-05:00”,stubhub,3,246,4777,5023
1644062400000,“2022-02-05T07:00:00-05:00”,seatgeek,1,132,2611,2743
1644062400000,“2022-02-05T07:00:00-05:00”,vividseats,8,628,5725,6353
1644066000000,“2022-02-05T08:00:00-05:00”,stubhub,2,248,4775,5023
1644066000000,“2022-02-05T08:00:00-05:00”,seatgeek,1,133,2610,2743
1644066000000,“2022-02-05T08:00:00-05:00”,vividseats,5,633,5720,6353
1644069600000,“2022-02-05T09:00:00-05:00”,stubhub,8,256,4767,5023
1644069600000,“2022-02-05T09:00:00-05:00”,seatgeek,1,134,2609,2743
1644069600000,“2022-02-05T09:00:00-05:00”,vividseats,10,643,5710,6353
1644073200000,“2022-02-05T10:00:00-05:00”,stubhub,14,270,4753,5023
1644073200000,“2022-02-05T10:00:00-05:00”,seatgeek,8,142,2601,2743
1644073200000,“2022-02-05T10:00:00-05:00”,vividseats,35,678,5675,6353
1644076800000,“2022-02-05T11:00:00-05:00”,stubhub,9,279,4744,5023
1644076800000,“2022-02-05T11:00:00-05:00”,seatgeek,12,154,2589,2743
1644076800000,“2022-02-05T11:00:00-05:00”,vividseats,19,697,5656,6353
1644080400000,“2022-02-05T12:00:00-05:00”,stubhub,14,293,4730,5023
1644080400000,“2022-02-05T12:00:00-05:00”,seatgeek,2,156,2587,2743
1644080400000,“2022-02-05T12:00:00-05:00”,vividseats,20,717,5636,6353
1644084000000,“2022-02-05T13:00:00-05:00”,stubhub,27,320,4703,5023
1644084000000,“2022-02-05T13:00:00-05:00”,seatgeek,13,169,2574,2743
1644084000000,“2022-02-05T13:00:00-05:00”,vividseats,36,753,5600,6353
1644087600000,“2022-02-05T14:00:00-05:00”,stubhub,10,330,4693,5023
1644087600000,“2022-02-05T14:00:00-05:00”,seatgeek,3,172,2571,2743
1644087600000,“2022-02-05T14:00:00-05:00”,vividseats,12,765,5588,6353
1644091200000,“2022-02-05T15:00:00-05:00”,stubhub,14,344,4679,5023
1644091200000,“2022-02-05T15:00:00-05:00”,seatgeek,11,183,2560,2743
1644091200000,“2022-02-05T15:00:00-05:00”,vividseats,32,797,5556,6353
1644094800000,“2022-02-05T16:00:00-05:00”,stubhub,11,355,4668,5023
1644094800000,“2022-02-05T16:00:00-05:00”,seatgeek,8,191,2552,2743
1644094800000,“2022-02-05T16:00:00-05:00”,vividseats,16,813,5540,6353
1644098400000,“2022-02-05T17:00:00-05:00”,stubhub,17,372,4651,5023
1644098400000,“2022-02-05T17:00:00-05:00”,seatgeek,9,200,2543,2743
1644098400000,“2022-02-05T17:00:00-05:00”,vividseats,21,834,5519,6353
1644102000000,“2022-02-05T18:00:00-05:00”,stubhub,17,389,4634,5023
1644102000000,“2022-02-05T18:00:00-05:00”,seatgeek,11,211,2532,2743
1644102000000,“2022-02-05T18:00:00-05:00”,vividseats,20,854,5499,6353
1644105600000,“2022-02-05T19:00:00-05:00”,stubhub,8,397,4626,5023
1644105600000,“2022-02-05T19:00:00-05:00”,seatgeek,1,212,2531,2743
1644105600000,“2022-02-05T19:00:00-05:00”,vividseats,12,866,5487,6353
1644109200000,“2022-02-05T20:00:00-05:00”,stubhub,6,403,4620,5023
1644109200000,“2022-02-05T20:00:00-05:00”,seatgeek,3,215,2528,2743
1644109200000,“2022-02-05T20:00:00-05:00”,vividseats,14,880,5473,6353
1644112800000,“2022-02-05T21:00:00-05:00”,stubhub,6,409,4614,5023
1644112800000,“2022-02-05T21:00:00-05:00”,seatgeek,6,221,2522,2743
1644112800000,“2022-02-05T21:00:00-05:00”,vividseats,18,898,5455,6353
1644116400000,“2022-02-05T22:00:00-05:00”,stubhub,5,414,4609,5023
1644116400000,“2022-02-05T22:00:00-05:00”,seatgeek,3,224,2519,2743
1644116400000,“2022-02-05T22:00:00-05:00”,vividseats,8,906,5447,6353
1644120000000,“2022-02-05T23:00:00-05:00”,stubhub,1,415,4608,5023
1644120000000,“2022-02-05T23:00:00-05:00”,seatgeek,2,226,2517,2743
1644120000000,“2022-02-05T23:00:00-05:00”,vividseats,7,913,5440,6353
1644123600000,“2022-02-06T00:00:00-05:00”,stubhub,4,419,4604,5023
1644123600000,“2022-02-06T00:00:00-05:00”,seatgeek,3,229,2514,2743
1644123600000,“2022-02-06T00:00:00-05:00”,vividseats,6,919,5434,6353
1644127200000,“2022-02-06T01:00:00-05:00”,stubhub,3,422,4601,5023
1644127200000,“2022-02-06T01:00:00-05:00”,seatgeek,2,231,2512,2743
1644127200000,“2022-02-06T01:00:00-05:00”,vividseats,5,924,5429,6353
1644130800000,“2022-02-06T02:00:00-05:00”,stubhub,3,425,4598,5023
1644130800000,“2022-02-06T02:00:00-05:00”,seatgeek,0,231,2512,2743
1644130800000,“2022-02-06T02:00:00-05:00”,vividseats,4,928,5425,6353
1644134400000,“2022-02-06T03:00:00-05:00”,stubhub,2,427,4596,5023
1644134400000,“2022-02-06T03:00:00-05:00”,seatgeek,1,232,2511,2743
1644134400000,“2022-02-06T03:00:00-05:00”,vividseats,2,930,5423,6353
1644138000000,“2022-02-06T04:00:00-05:00”,stubhub,2,429,4594,5023
1644138000000,“2022-02-06T04:00:00-05:00”,seatgeek,2,234,2509,2743
1644138000000,“2022-02-06T04:00:00-05:00”,vividseats,2,932,5421,6353
1644141600000,“2022-02-06T05:00:00-05:00”,stubhub,1,430,4593,5023
1644141600000,“2022-02-06T05:00:00-05:00”,seatgeek,1,235,2508,2743
1644141600000,“2022-02-06T05:00:00-05:00”,vividseats,2,934,5419,6353
1644145200000,“2022-02-06T06:00:00-05:00”,stubhub,1,431,4592,5023
1644145200000,“2022-02-06T06:00:00-05:00”,seatgeek,1,236,2507,2743
1644145200000,“2022-02-06T06:00:00-05:00”,vividseats,1,935,5418,6353
1644148800000,“2022-02-06T07:00:00-05:00”,stubhub,3,434,4589,5023
1644148800000,“2022-02-06T07:00:00-05:00”,seatgeek,1,237,2506,2743
1644148800000,“2022-02-06T07:00:00-05:00”,vividseats,18,953,5400,6353
1644152400000,“2022-02-06T08:00:00-05:00”,stubhub,6,440,4583,5023
1644152400000,“2022-02-06T08:00:00-05:00”,seatgeek,4,241,2502,2743
1644152400000,“2022-02-06T08:00:00-05:00”,vividseats,7,960,5393,6353
1644156000000,“2022-02-06T09:00:00-05:00”,stubhub,11,451,4572,5023
1644156000000,“2022-02-06T09:00:00-05:00”,seatgeek,2,243,2500,2743
1644156000000,“2022-02-06T09:00:00-05:00”,vividseats,8,968,5385,6353
1644159600000,“2022-02-06T10:00:00-05:00”,stubhub,4,455,4568,5023
1644159600000,“2022-02-06T10:00:00-05:00”,seatgeek,1,244,2499,2743
1644159600000,“2022-02-06T10:00:00-05:00”,vividseats,9,977,5376,6353
1644163200000,“2022-02-06T11:00:00-05:00”,stubhub,2,457,4566,5023
1644163200000,“2022-02-06T11:00:00-05:00”,seatgeek,1,245,2498,2743
1644163200000,“2022-02-06T11:00:00-05:00”,vividseats,10,987,5366,6353
1644166800000,“2022-02-06T12:00:00-05:00”,stubhub,8,465,4558,5023
1644166800000,“2022-02-06T12:00:00-05:00”,seatgeek,5,250,2493,2743
1644166800000,“2022-02-06T12:00:00-05:00”,vividseats,21,1008,5345,6353
1644170400000,“2022-02-06T13:00:00-05:00”,stubhub,7,472,4551,5023
1644170400000,“2022-02-06T13:00:00-05:00”,seatgeek,3,253,2490,2743
1644170400000,“2022-02-06T13:00:00-05:00”,vividseats,9,1017,5336,6353
1644174000000,“2022-02-06T14:00:00-05:00”,stubhub,5,477,4546,5023
1644174000000,“2022-02-06T14:00:00-05:00”,seatgeek,1,254,2489,2743
1644174000000,“2022-02-06T14:00:00-05:00”,vividseats,9,1026,5326,6352
1644177600000,“2022-02-06T15:00:00-05:00”,stubhub,3,480,4543,5023
1644177600000,“2022-02-06T15:00:00-05:00”,seatgeek,0,254,2489,2743
1644177600000,“2022-02-06T15:00:00-05:00”,vividseats,9,1035,5317,6352
1644181200000,“2022-02-06T16:00:00-05:00”,stubhub,4,484,4539,5023
1644181200000,“2022-02-06T16:00:00-05:00”,seatgeek,3,257,2486,2743
1644181200000,“2022-02-06T16:00:00-05:00”,vividseats,10,1045,5307,6352
1644184800000,“2022-02-06T17:00:00-05:00”,stubhub,9,493,4530,5023
1644184800000,“2022-02-06T17:00:00-05:00”,seatgeek,5,262,2481,2743
1644184800000,“2022-02-06T17:00:00-05:00”,vividseats,17,1062,5290,6352
1644188400000,“2022-02-06T18:00:00-05:00”,stubhub,10,503,4520,5023
1644188400000,“2022-02-06T18:00:00-05:00”,seatgeek,6,268,2475,2743
1644188400000,“2022-02-06T18:00:00-05:00”,vividseats,18,1080,5272,6352
1644192000000,“2022-02-06T19:00:00-05:00”,stubhub,10,513,4510,5023
1644192000000,“2022-02-06T19:00:00-05:00”,seatgeek,3,271,2472,2743
1644192000000,“2022-02-06T19:00:00-05:00”,vividseats,13,1093,5259,6352
1644195600000,“2022-02-06T20:00:00-05:00”,stubhub,4,517,4506,5023
1644195600000,“2022-02-06T20:00:00-05:00”,seatgeek,0,271,2472,2743
1644195600000,“2022-02-06T20:00:00-05:00”,vividseats,17,1110,5242,6352
1644199200000,“2022-02-06T21:00:00-05:00”,stubhub,6,523,4500,5023
1644199200000,“2022-02-06T21:00:00-05:00”,seatgeek,1,272,2471,2743
1644199200000,“2022-02-06T21:00:00-05:00”,vividseats,9,1119,5233,6352
1644202800000,“2022-02-06T22:00:00-05:00”,stubhub,14,537,4486,5023
1644202800000,“2022-02-06T22:00:00-05:00”,seatgeek,6,278,2465,2743
1644202800000,“2022-02-06T22:00:00-05:00”,vividseats,27,1146,5206,6352
1644217200000,“2022-02-07T02:00:00-05:00”,stubhub,5,542,4481,5023
1644217200000,“2022-02-07T02:00:00-05:00”,seatgeek,1,279,2464,2743
1644217200000,“2022-02-07T02:00:00-05:00”,vividseats,8,1154,5198,6352
1644231600000,“2022-02-07T06:00:00-05:00”,stubhub,0,542,4481,5023
1644231600000,“2022-02-07T06:00:00-05:00”,seatgeek,0,279,2464,2743
1644231600000,“2022-02-07T06:00:00-05:00”,vividseats,2,1156,5196,6352
1644235200000,“2022-02-07T07:00:00-05:00”,stubhub,1,543,4480,5023
1644235200000,“2022-02-07T07:00:00-05:00”,seatgeek,0,279,2464,2743
1644235200000,“2022-02-07T07:00:00-05:00”,vividseats,17,1173,5179,6352
1644238800000,“2022-02-07T08:00:00-05:00”,stubhub,1,544,4479,5023
1644238800000,“2022-02-07T08:00:00-05:00”,seatgeek,2,281,2462,2743
1644238800000,“2022-02-07T08:00:00-05:00”,vividseats,43,1216,5136,6352
1644242400000,“2022-02-07T09:00:00-05:00”,stubhub,7,551,4472,5023
1644242400000,“2022-02-07T09:00:00-05:00”,seatgeek,5,286,2457,2743
1644242400000,“2022-02-07T09:00:00-05:00”,vividseats,12,1228,5124,6352
1644246000000,“2022-02-07T10:00:00-05:00”,stubhub,7,558,4465,5023
1644246000000,“2022-02-07T10:00:00-05:00”,seatgeek,3,289,2454,2743
1644246000000,“2022-02-07T10:00:00-05:00”,vividseats,22,1250,5102,6352
1644249600000,“2022-02-07T11:00:00-05:00”,stubhub,12,570,4453,5023
1644249600000,“2022-02-07T11:00:00-05:00”,seatgeek,8,297,2446,2743
1644249600000,“2022-02-07T11:00:00-05:00”,vividseats,26,1276,5076,6352
1644253200000,“2022-02-07T12:00:00-05:00”,stubhub,7,577,4446,5023
1644253200000,“2022-02-07T12:00:00-05:00”,seatgeek,3,300,2443,2743
1644253200000,“2022-02-07T12:00:00-05:00”,vividseats,52,1328,5024,6352
1644256800000,“2022-02-07T13:00:00-05:00”,stubhub,9,586,4437,5023
1644256800000,“2022-02-07T13:00:00-05:00”,seatgeek,5,305,2438,2743
1644256800000,“2022-02-07T13:00:00-05:00”,vividseats,18,1346,5006,6352
1644260400000,“2022-02-07T14:00:00-05:00”,stubhub,45,631,4392,5023
1644260400000,“2022-02-07T14:00:00-05:00”,seatgeek,32,337,2406,2743
1644260400000,“2022-02-07T14:00:00-05:00”,vividseats,123,1469,4883,6352
1644282000000,“2022-02-07T20:00:00-05:00”,stubhub,8,639,4384,5023
1644282000000,“2022-02-07T20:00:00-05:00”,seatgeek,1,338,2405,2743
1644282000000,“2022-02-07T20:00:00-05:00”,vividseats,14,1483,4869,6352
1644285600000,“2022-02-07T21:00:00-05:00”,stubhub,5,644,4379,5023
1644285600000,“2022-02-07T21:00:00-05:00”,seatgeek,0,338,2405,2743
1644285600000,“2022-02-07T21:00:00-05:00”,vividseats,13,1496,4856,6352
1644289200000,“2022-02-07T22:00:00-05:00”,stubhub,6,650,4373,5023
1644289200000,“2022-02-07T22:00:00-05:00”,seatgeek,3,341,2402,2743
1644289200000,“2022-02-07T22:00:00-05:00”,vividseats,12,1508,4844,6352
1644292800000,“2022-02-07T23:00:00-05:00”,stubhub,4,654,4369,5023
1644292800000,“2022-02-07T23:00:00-05:00”,seatgeek,1,342,2401,2743
1644292800000,“2022-02-07T23:00:00-05:00”,vividseats,9,1517,4835,6352
1644296400000,“2022-02-08T00:00:00-05:00”,stubhub,9,663,4360,5023
1644296400000,“2022-02-08T00:00:00-05:00”,seatgeek,3,345,2398,2743
1644296400000,“2022-02-08T00:00:00-05:00”,vividseats,20,1537,4815,6352
1644318000000,“2022-02-08T06:00:00-05:00”,stubhub,0,663,4360,5023
1644318000000,“2022-02-08T06:00:00-05:00”,seatgeek,0,345,2398,2743
1644318000000,“2022-02-08T06:00:00-05:00”,vividseats,1,1538,4814,6352
1644321600000,“2022-02-08T07:00:00-05:00”,stubhub,2,665,4358,5023
1644321600000,“2022-02-08T07:00:00-05:00”,seatgeek,1,346,2397,2743
1644321600000,“2022-02-08T07:00:00-05:00”,vividseats,2,1540,4812,6352
1644325200000,“2022-02-08T08:00:00-05:00”,stubhub,4,669,4354,5023
1644325200000,“2022-02-08T08:00:00-05:00”,seatgeek,1,347,2396,2743
1644325200000,“2022-02-08T08:00:00-05:00”,vividseats,9,1549,4803,6352
1644328800000,“2022-02-08T09:00:00-05:00”,stubhub,15,684,4339,5023
1644328800000,“2022-02-08T09:00:00-05:00”,seatgeek,7,354,2389,2743
1644328800000,“2022-02-08T09:00:00-05:00”,vividseats,24,1573,4779,6352
1644332400000,“2022-02-08T10:00:00-05:00”,stubhub,11,695,4328,5023
1644332400000,“2022-02-08T10:00:00-05:00”,seatgeek,6,360,2383,2743
1644332400000,“2022-02-08T10:00:00-05:00”,vividseats,15,1588,4766,6354
1644336000000,“2022-02-08T11:00:00-05:00”,stubhub,95,790,4233,5023
1644336000000,“2022-02-08T11:00:00-05:00”,seatgeek,57,417,2326,2743
1644336000000,“2022-02-08T11:00:00-05:00”,vividseats,177,1765,4589,6354
1644361200000,“2022-02-08T18:00:00-05:00”,stubhub,20,810,4213,5023
1644361200000,“2022-02-08T18:00:00-05:00”,seatgeek,9,426,2317,2743
1644361200000,“2022-02-08T18:00:00-05:00”,vividseats,54,1819,4533,6352
1644368400000,“2022-02-08T20:00:00-05:00”,stubhub,13,823,4200,5023
1644368400000,“2022-02-08T20:00:00-05:00”,seatgeek,2,428,2315,2743
1644368400000,“2022-02-08T20:00:00-05:00”,vividseats,38,1857,4496,6353
1644372000000,“2022-02-08T21:00:00-05:00”,stubhub,39,862,4161,5023
1644372000000,“2022-02-08T21:00:00-05:00”,seatgeek,14,442,2301,2743
1644372000000,“2022-02-08T21:00:00-05:00”,vividseats,45,1902,4451,6353
