ticket,site,row,section,url,distinctPricesCount,maxTimestampmillis
seatgeek-2v0clAOZBg7,seatgeek,10,530,https://www.seatgeek.com/?listing=2v0clAOZBg7,3,1644596363218
seatgeek-2v0clAOd9Zd,seatgeek,12,124,https://www.seatgeek.com/?listing=2v0clAOd9Zd,12,1644712425754
seatgeek-2v0clAOdO6b,seatgeek,19,511,https://www.seatgeek.com/?listing=2v0clAOdO6b,4,1644712425754
seatgeek-2v0clAOg0GV,seatgeek,18,230,https://www.seatgeek.com/?listing=2v0clAOg0GV,2,1644596363218
seatgeek-2v0clAOgYmz,seatgeek,6,301,https://www.seatgeek.com/?listing=2v0clAOgYmz,4,1644536336786
seatgeek-2v0clAOj34R,seatgeek,11,227,https://www.seatgeek.com/?listing=2v0clAOj34R,1,1644779918725
seatgeek-2v0clAOjRno,seatgeek,5,422,https://www.seatgeek.com/?listing=2v0clAOjRno,1,1644780868143
seatgeek-2v0clAOjZbL,seatgeek,17,527,https://www.seatgeek.com/?listing=2v0clAOjZbL,1,1644774203571
seatgeek-2v0clAOjd9J,seatgeek,9,Club 136,https://www.seatgeek.com/?listing=2v0clAOjd9J,2,1644780868143
seatgeek-2v0clAOjnd5,seatgeek,12,532,https://www.seatgeek.com/?listing=2v0clAOjnd5,1,1644780868143
seatgeek-2v0clAOkvx9,seatgeek,7,Club 223,https://www.seatgeek.com/?listing=2v0clAOkvx9,3,1644688258663
seatgeek-2v0clAOnn2o,seatgeek,12,Club 215,https://www.seatgeek.com/?listing=2v0clAOnn2o,1,1644591544553
seatgeek-2v0clAOqV59,seatgeek,15,522,https://www.seatgeek.com/?listing=2v0clAOqV59,4,1644702000843
seatgeek-2v0clAOwDz9,seatgeek,2,317,https://www.seatgeek.com/?listing=2v0clAOwDz9,4,1644553240875
seatgeek-2v0clAOwMG2,seatgeek,8,245,https://www.seatgeek.com/?listing=2v0clAOwMG2,3,1644591544553
seatgeek-2v0clAOwMLe,seatgeek,4,Club 250,https://www.seatgeek.com/?listing=2v0clAOwMLe,11,1644712425754
seatgeek-2v0clAOwMZ8,seatgeek,3,Club 116,https://www.seatgeek.com/?listing=2v0clAOwMZ8,3,1644596363218
seatgeek-2v0clAOwMgz,seatgeek,8,Club 116,https://www.seatgeek.com/?listing=2v0clAOwMgz,3,1644605522736
seatgeek-2v0clAOwdb0,seatgeek,2,133,https://www.seatgeek.com/?listing=2v0clAOwdb0,1,1644501911447
seatgeek-2v0clAOwkvY,seatgeek,15,239,https://www.seatgeek.com/?listing=2v0clAOwkvY,8,1644702000843
seatgeek-2v0clAOwnJO,seatgeek,10,233,https://www.seatgeek.com/?listing=2v0clAOwnJO,12,1644712425754
seatgeek-2v0clAOwnXO,seatgeek,5,233,https://www.seatgeek.com/?listing=2v0clAOwnXO,8,1644693281023
seatgeek-2v0clAOwpVY,seatgeek,17,529,https://www.seatgeek.com/?listing=2v0clAOwpVY,2,1644499094668
seatgeek-2v0clAOxA7E,seatgeek,11,511,https://www.seatgeek.com/?listing=2v0clAOxA7E,6,1644785651939
seatgeek-2v0clAOxPMn,seatgeek,1,308,https://www.seatgeek.com/?listing=2v0clAOxPMn,5,1644712425754
seatgeek-2v0clAj2w5j,seatgeek,4,436,https://www.seatgeek.com/?listing=2v0clAj2w5j,6,1644338190908
seatgeek-2v0clAj4zr8,seatgeek,17,511,https://www.seatgeek.com/?listing=2v0clAj4zr8,2,1644086469934
seatgeek-2v0clAjDv5v,seatgeek,15,239,https://www.seatgeek.com/?listing=2v0clAjDv5v,4,1644173875943
seatgeek-2v0clAjL4Yo,seatgeek,15,539,https://www.seatgeek.com/?listing=2v0clAjL4Yo,1,1644194217186
seatgeek-2v0clAjNKjY,seatgeek,8,Club 217,https://www.seatgeek.com/?listing=2v0clAjNKjY,3,1644081875079
seatgeek-2v0clAjNzMw,seatgeek,22,234,https://www.seatgeek.com/?listing=2v0clAjNzMw,8,1644254589006
seatgeek-2v0clAjPzjb,seatgeek,21,506,https://www.seatgeek.com/?listing=2v0clAjPzjb,1,1644419598764
seatgeek-2v0clAjRPw0,seatgeek,20,511,https://www.seatgeek.com/?listing=2v0clAjRPw0,8,1644730702930
seatgeek-2v0clAjXj6o,seatgeek,3,412,https://www.seatgeek.com/?listing=2v0clAjXj6o,2,1644605522736
seatgeek-2v0clAjYRpZ,seatgeek,4,441,https://www.seatgeek.com/?listing=2v0clAjYRpZ,3,1644167397763
seatgeek-2v0clAjeM3l,seatgeek,12,516,https://www.seatgeek.com/?listing=2v0clAjeM3l,1,1644261991676
seatgeek-2v0clAjjdll,seatgeek,7,103,https://www.seatgeek.com/?listing=2v0clAjjdll,9,1644501911447
seatgeek-2v0clAjkMnO,seatgeek,9,311,https://www.seatgeek.com/?listing=2v0clAjkMnO,4,1644526999394
seatgeek-2v0clAjmE6v,seatgeek,9,540,https://www.seatgeek.com/?listing=2v0clAjmE6v,10,1644419598764
seatgeek-2v0clAjpXvr,seatgeek,15,232,https://www.seatgeek.com/?listing=2v0clAjpXvr,5,1644181275050
seatgeek-2v0clAjrEgB,seatgeek,23,233,https://www.seatgeek.com/?listing=2v0clAjrEgB,4,1644501911447
seatgeek-2v0clAjzLBA,seatgeek,6,245,https://www.seatgeek.com/?listing=2v0clAjzLBA,6,1644587778700
